Depth,Age,dD
6.6,31.0565,-390.9
7.15,39.7225,-385.1
7.7,48.3885,-377.8
8.25,57.0545,-394.1
8.8,66.3844,-398.7
9.35,75.7143,-395.9
9.9,85.0442,-395.9
10.45,94.865,-399.3
11,104.686,-391.4
11.55,114.507,-399.5
12.1,124.671,-402.9
12.65,134.835,-393.9
13.2,144.999,-398.6
13.75,155.444,-389.8
14.3,165.888,-394.5
14.85,176.333,-400.5
15.4,186.735,-403.6
15.95,197.137,-393.1
16.5,207.539,-410.9
17.05,218.351,-393.6
17.6,229.164,-391.1
18.15,239.976,-391.9
18.7,251.384,-396.3
19.25,262.792,-397
19.8,274.201,-404.7
20.35,286.165,-398.2
20.9,298.13,-395.2
21.45,310.094,-403.5
22,322.275,-398.6
22.55,334.457,-399.7
23.1,346.638,-396
23.65,359.39,-400.2
24.2,372.141,-401.6
24.75,384.893,-405.4
25.3,397.841,-399
25.85,410.79,-396.9
26.4,423.739,-394.9
26.95,436.394,-406.6
27.5,449.048,-395.2
28.05,461.703,-395.3
28.6,474.536,-399.5
29.15,487.369,-401
29.7,500.202,-393.6
30.25,513.421,-410.4
30.8,526.64,-401.3
31.35,539.86,-398.3
31.9,553.081,-388.5
32.45,566.301,-391.9
33,579.522,-400.8
33.55,592.397,-387.7
34.1,605.271,-401.4
34.65,618.146,-401
35.2,630.698,-387.3
35.75,643.25,-390.2
36.3,655.803,-394.5
36.85,669.45,-401.9
37.4,683.097,-399.8
37.95,696.744,-399.9
38.5,711.25,-399.1
39.05,725.755,-401.9
39.6,740.26,-404.8
40.15,754.86,-401.6
40.7,769.46,-396.7
41.25,784.06,-397.1
41.8,797.64,-394.2
42.35,811.219,-395.9
42.9,824.798,-392.7
43.45,837.547,-390.4
44,850.297,-389
44.55,863.046,-387
45.1,876.677,-402.3
45.65,890.308,-392.5
46.2,903.94,-404.6
46.75,918.548,-390.5
47.3,933.157,-402.3
47.85,947.766,-400.1
48.4,962.699,-399.4
48.95,977.631,-400.6
49.5,992.564,-393.8
50.05,1007.39,-398.5
50.6,1022.21,-398.7
51.15,1037.03,-401.8
51.7,1051.47,-395.2
52.25,1065.9,-390.1
52.8,1080.33,-393.9
53.35,1095.11,-400.6
53.9,1109.89,-400.9
54.45,1124.67,-391.7
55,1139.59,-399.3
55.55,1154.51,-386.7
56.1,1169.43,-401.5
56.65,1183.66,-398.1
57.2,1197.89,-390.4
57.75,1212.13,-389.8
58.3,1226.45,-390.7
58.85,1240.78,-399.3
59.4,1255.11,-392.5
59.95,1270.18,-393.8
60.5,1285.24,-394.4
61.05,1300.31,-397
61.6,1315.39,-397.8
62.15,1330.47,-388.6
62.7,1345.56,-394.7
63.25,1360.47,-390.6
63.8,1375.38,-397
64.35,1390.3,-386.6
64.9,1404.83,-390.6
65.45,1419.36,-397
66,1433.9,-396.1
66.55,1450.18,-398.9
67.1,1466.46,-400.2
67.65,1482.74,-398.7
68.2,1498.8,-389.7
68.75,1514.85,-401.6
69.3,1530.9,-397.9
69.85,1546.89,-399.2
70.4,1562.88,-397.6
70.95,1578.87,-390.5
71.5,1595.08,-401.5
72.05,1611.29,-395.7
72.6,1627.5,-394.5
73.15,1644.26,-402.9
73.7,1661.03,-401
74.25,1677.8,-391.5
74.8,1694.5,-403.4
75.35,1711.21,-393.4
75.9,1727.92,-393.8
76.45,1744.8,-400.8
77,1761.69,-399.3
77.55,1778.58,-396.6
78.1,1795.47,-395.3
78.65,1812.36,-392.6
79.2,1829.26,-404.4
79.75,1846.63,-394.4
80.3,1864,-402.2
80.85,1881.37,-401.9
81.4,1897.82,-393.8
81.95,1914.28,-402.3
82.5,1930.73,-385.1
83.05,1947.4,-395.9
83.6,1964.07,-395.8
84.15,1980.74,-398.2
84.7,1997.77,-394.8
85.25,2014.81,-397.7
85.8,2031.85,-400.3
86.35,2049.55,-402.4
86.9,2067.26,-396
87.45,2084.97,-401.4
88,2102.19,-386.1
88.55,2119.42,-400.1
89.1,2136.64,-400.3
89.65,2153.99,-393.2
90.2,2171.34,-399.7
90.75,2188.7,-397.9
91.3,2206.98,-402
91.85,2225.27,-398.7
92.4,2243.55,-398.6
93.5,2277.53,-390.6
94.05,2294.52,-394
94.6,2312,-397.9
95.15,2329.47,-394.8
95.7,2346.95,-408.2
96.25,2366.99,-404.3
96.8,2387.02,-399.6
97.35,2407.06,-400.8
97.9,2426.05,-401.5
98.45,2445.04,-407.7
99,2464.03,-400.5
99.55,2482.97,-395.8
100.1,2501.91,-399.7
100.65,2520.86,-399.6
101.2,2538.83,-394.8
101.75,2556.81,-398.5
102.3,2574.79,-390.2
102.85,2592.54,-396.4
103.4,2610.28,-392.7
103.95,2628.03,-400.4
104.5,2645.52,-393.5
105.05,2663,-390.6
105.6,2680.49,-395.2
106.15,2698.62,-396.9
106.7,2716.75,-399.1
107.25,2734.89,-396.9
107.8,2752.64,-401
108.35,2770.4,-387.9
108.9,2788.15,-390.3
109.45,2804.98,-390.8
110,2821.82,-390.2
110.55,2838.65,-395.6
111.1,2855.31,-387.7
111.65,2871.98,-388.9
112.2,2888.64,-388.9
112.75,2906.75,-395.4
113.3,2924.86,-399.5
113.85,2942.97,-401.7
114.4,2961.05,-392.2
114.95,2979.12,-393.9
115.5,2997.2,-397.7
116.05,3016.21,-401.1
116.6,3035.23,-395.7
117.15,3054.25,-398.7
117.7,3072.57,-395
118.25,3090.88,-394.7
118.8,3109.2,-395.8
119.35,3127.06,-391.8
120.45,3162.77,-387.9
121,3181.62,-404.4
121.55,3200.48,-401.1
122.1,3219.34,-403.4
122.65,3239.55,-391.8
123.2,3259.75,-400.5
123.75,3279.95,-406.2
124.3,3299.56,-392.7
124.85,3319.16,-400
125.4,3338.77,-401.9
125.95,3358.11,-391.3
126.5,3377.46,-399.8
127.05,3396.81,-404.2
127.6,3416.74,-395.6
128.15,3436.66,-397.2
128.7,3456.58,-398.2
129.25,3475.97,-396.6
129.8,3495.35,-395.6
130.35,3514.74,-392.7
130.9,3533.36,-401.8
131.45,3551.97,-387.3
132,3570.59,-394.6
132.55,3589.51,-397.2
133.1,3608.43,-394.5
133.65,3627.34,-399.5
134.2,3645.76,-389.9
134.75,3664.17,-390.8
135.3,3682.58,-394.4
135.85,3700.73,-391.7
136.4,3718.87,-389.2
136.95,3737.02,-401.6
137.5,3754.99,-387.2
138.05,3772.97,-387.8
138.6,3790.94,-404.9
139.15,3810.03,-388.9
139.7,3829.11,-394.9
140.25,3848.2,-393.8
140.8,3867.58,-399.6
141.35,3886.96,-400.9
141.9,3906.34,-391
142.45,3925.69,-396.1
143,3945.05,-398.5
143.55,3964.41,-396.5
144.1,3983.96,-397.8
144.65,4003.51,-392.9
145.2,4023.05,-398.7
145.75,4041.94,-398.9
146.3,4060.83,-390.6
146.85,4079.72,-390.4
147.4,4098.75,-402.3
147.95,4117.78,-389.9
148.5,4136.81,-390.3
149.05,4156.11,-398.8
149.6,4175.4,-397.8
150.15,4194.7,-394.9
150.7,4213.88,-392.2
151.25,4233.06,-404.7
151.8,4252.23,-391.2
152.35,4270.93,-387.3
152.9,4289.63,-396.4
153.45,4308.32,-387
154,4327.69,-398.1
154.55,4347.06,-401.4
155.1,4366.42,-395.2
155.65,4386,-393.4
156.2,4405.57,-394.9
156.75,4425.14,-397.1
157.3,4444.62,-400.6
157.85,4464.09,-393
158.4,4483.57,-387.1
158.95,4502.2,-397.5
159.5,4520.82,-390.4
160.05,4539.45,-399.3
160.6,4559.53,-397.5
161.15,4579.62,-399.9
161.7,4599.7,-395
162.25,4619.33,-394.1
162.8,4638.97,-393.4
163.35,4658.6,-398.4
163.9,4678.18,-395.1
164.45,4697.76,-396
165,4717.34,-397.3
165.55,4737.08,-389.3
166.1,4756.82,-399.6
166.65,4776.56,-402.3
167.2,4796.94,-396.7
167.75,4817.31,-397.2
168.3,4837.69,-402
168.85,4857.88,-396.9
169.4,4878.08,-390.9
169.95,4898.27,-393.4
170.5,4917.31,-395.9
171.05,4936.36,-395.1
171.6,4955.4,-392.7
172.15,4974.9,-389
172.7,4994.4,-397.9
173.25,5013.89,-398.9
173.8,5033.82,-396.8
174.35,5053.75,-396.6
174.9,5073.67,-392.7
175.45,5093.9,-400.6
176,5114.13,-396.3
176.55,5134.35,-395.6
177.1,5153.64,-393.3
177.65,5172.94,-391.4
178.2,5192.23,-391.3
178.75,5211.52,-393.2
179.3,5230.8,-397.6
179.85,5250.09,-395.8
180.4,5270.21,-403.1
180.95,5290.33,-396.3
181.5,5310.46,-390.6
182.05,5329.96,-396
182.6,5349.46,-390.6
183.15,5368.96,-396.3
183.7,5388.39,-394.5
184.25,5407.83,-391.4
184.8,5427.26,-407.6
185.35,5449.29,-401.2
185.9,5471.32,-402.4
186.45,5493.35,-395
187,5514.82,-402.5
187.55,5536.29,-407.9
188.1,5557.76,-399.6
188.65,5577.7,-394.6
189.2,5597.65,-387.2
189.75,5617.6,-396.2
190.3,5637.31,-394
190.85,5657.03,-399.1
191.4,5676.74,-395.2
191.95,5696.92,-396
192.5,5717.1,-400.4
193.05,5737.28,-391.1
193.6,5756.82,-399.2
194.15,5776.36,-386.2
194.7,5795.9,-398.9
195.25,5814.73,-389
195.8,5833.56,-388.4
196.35,5852.38,-400.4
196.9,5871.37,-392.7
197.45,5890.35,-391
198,5909.33,-392.5
198.55,5929.47,-397.7
199.1,5949.6,-399.8
199.65,5969.74,-398.7
200.2,5990.84,-403.7
200.75,6011.94,-397.4
201.3,6033.05,-391.7
201.85,6052.66,-394.5
202.4,6072.27,-396.8
202.95,6091.88,-399.2
203.5,6112,-394
204.05,6132.12,-391.4
204.6,6152.24,-403.5
205.15,6172.11,-389.5
205.7,6191.98,-399.9
206.25,6211.86,-397.4
206.8,6231.89,-398.6
207.35,6251.92,-394.1
207.9,6271.95,-398.4
208.45,6292.6,-401.7
209,6313.25,-392.6
209.55,6333.9,-395.4
210.1,6354.44,-402.1
210.65,6374.98,-403.6
211.2,6395.52,-396.5
211.75,6416.67,-402.5
212.3,6437.82,-398.8
212.85,6458.97,-397
213.4,6478.29,-389.4
213.95,6497.62,-395
214.5,6516.94,-404.9
215.05,6538.11,-402.2
215.6,6559.27,-389.2
216.15,6580.44,-397
216.7,6601.09,-401.8
217.25,6621.73,-398.4
217.8,6642.38,-407.8
218.35,6663.73,-395.4
218.9,6685.08,-403.1
219.45,6706.43,-406.1
220,6726.49,-390.4
220.55,6746.54,-392.6
221.1,6766.59,-395.7
221.65,6787.34,-402.9
222.2,6808.1,-401.9
222.75,6828.86,-401.2
223.3,6849.36,-400.4
223.85,6869.87,-397.5
224.4,6890.37,-389.4
224.95,6909.13,-395.4
225.5,6927.9,-387.9
226.05,6946.67,-398.3
226.6,6967.15,-398.7
227.15,6987.63,-401.3
227.7,7008.11,-396.8
228.25,7028.58,-395.6
228.8,7049.05,-402.5
229.35,7069.53,-399.5
229.9,7090.65,-397.8
230.45,7111.78,-400.5
231,7132.9,-400.8
231.55,7154.11,-396.1
232.1,7175.33,-405.3
232.65,7196.54,-411.9
233.2,7219.26,-401.7
233.75,7241.98,-399.3
234.3,7264.7,-404.7
234.85,7286.3,-403.1
235.4,7307.91,-402.3
235.95,7329.52,-396.1
236.5,7348.99,-388.3
237.05,7368.47,-398.5
237.6,7387.94,-406.3
238.15,7409.91,-399.9
238.7,7431.88,-404.7
239.25,7453.85,-403.8
239.8,7475.43,-395
240.35,7497.01,-402.8
240.9,7518.59,-404.2
241.45,7539.02,-399.1
242,7559.44,-393.3
242.55,7579.87,-399.1
243.1,7599.07,-389.2
243.65,7618.27,-397.7
244.2,7637.47,-388.4
244.75,7657.55,-400.3
245.3,7677.63,-403.7
245.85,7697.71,-398.3
246.4,7717.83,-396.1
246.95,7737.94,-390.7
247.5,7758.06,-404.7
248.05,7778.09,-400.2
248.6,7798.11,-388.5
249.15,7818.14,-390.4
249.7,7838.5,-405.5
250.25,7858.87,-399.5
250.8,7879.23,-402.1
251.35,7899.72,-402.2
251.9,7920.21,-395.2
252.45,7940.7,-391.6
253,7960.81,-396.5
253.55,7980.92,-399.5
254.1,8001.02,-400.6
254.65,8022.52,-401.6
255.2,8044.02,-400.6
255.75,8065.51,-406.3
256.3,8087.91,-398.3
256.85,8110.3,-411.7
257.4,8132.69,-399.8
257.95,8153.98,-396.9
258.5,8175.27,-401.4
259.05,8196.56,-405.3
259.6,8219.49,-408.3
260.15,8242.42,-406.5
260.7,8265.36,-400.8
261.25,8286.95,-403.2
261.8,8308.54,-397.5
262.35,8330.12,-401
262.9,8351.62,-401.5
263.45,8373.12,-400.4
264,8394.61,-400.3
264.55,8416.75,-407.3
265.1,8438.89,-403
265.65,8461.03,-404.2
266.2,8482.39,-401.2
266.75,8503.76,-397.2
267.3,8525.12,-396.9
267.85,8545.82,-397.8
268.4,8566.51,-409.5
268.95,8587.21,-397.1
269.5,8607.79,-390.3
270.05,8628.37,-397.5
270.6,8648.95,-401.9
271.15,8669.01,-392.4
271.7,8689.06,-399.9
272.25,8709.11,-399.3
272.8,8729.8,-396.7
273.35,8750.48,-402.1
273.9,8771.17,-401.8
274.45,8791.95,-397.5
275,8812.73,-400.2
275.55,8833.51,-395
276.1,8854.9,-404.4
276.65,8876.29,-402.1
